GEOID,n_listings,n_unique_hosts,n_entire_home,availability_365,number_of_reviews,share_entire_home
36047003101,10,10,8,274.9,19.9,0.8
36047003102,9,8,6,145.88888888888889,103.11111111111111,0.6666666666666666
36047003400,4,4,2,171.25,13.25,0.5
36047003600,2,2,1,273.0,3.0,0.5
36047003800,1,1,1,61.0,17.0,1.0
36047004100,40,31,30,147.375,53.1,0.75
36047004500,22,20,17,87.86363636363636,36.95454545454545,0.7727272727272727
36047004600,1,1,0,291.0,4.0,0.0
36047004700,7,7,7,57.142857142857146,38.857142857142854,1.0
36047004900,10,10,8,141.6,40.4,0.8
36047005100,11,11,9,100.63636363636364,62.90909090909091,0.8181818181818182
36047005201,2,2,1,44.5,9.0,0.5
36047005202,1,1,1,365.0,0.0,1.0
36047005301,20,19,15,162.95,59.65,0.75
36047005302,2,2,1,76.0,2.0,0.5
36047005400,9,7,6,162.55555555555554,2.6666666666666665,0.6666666666666666
36047005601,3,3,1,172.33333333333334,18.666666666666668,0.3333333333333333
36047005800,73,8,68,246.78082191780823,50.43835616438356,0.9315068493150684
36047005900,14,14,11,148.5,19.428571428571427,0.7857142857142857
36047006000,8,8,7,131.0,16.875,0.875
36047006200,9,6,1,140.55555555555554,43.111111111111114,0.1111111111111111
36047006300,10,9,8,141.3,35.0,0.8
36047006400,11,7,8,235.1818181818182,13.363636363636363,0.7272727272727273
36047006500,41,37,30,134.8048780487805,68.5609756097561,0.7317073170731707
36047006600,9,8,6,96.44444444444444,7.777777777777778,0.6666666666666666
36047006700,10,10,9,100.2,52.9,0.9
36047006800,18,12,7,182.16666666666666,18.5,0.3888888888888889
36047006902,25,24,21,100.48,25.6,0.84
36047007000,9,5,3,317.55555555555554,39.0,0.3333333333333333
36047007100,27,21,23,212.2962962962963,30.814814814814813,0.8518518518518519
36047007400,7,7,2,63.142857142857146,1.8571428571428572,0.2857142857142857
36047007500,45,43,33,98.66666666666667,43.355555555555554,0.7333333333333333
36047007600,14,12,5,196.5,69.85714285714286,0.35714285714285715
36047007800,9,8,5,147.11111111111111,77.33333333333333,0.5555555555555556
36047008000,11,8,4,193.8181818181818,26.727272727272727,0.36363636363636365
36047008200,14,12,3,205.0,60.285714285714285,0.21428571428571427
36047008400,23,16,3,171.7391304347826,64.65217391304348,0.13043478260869565
36047008500,4,4,2,65.5,17.5,0.5
36047008600,6,4,3,194.33333333333334,42.0,0.5
36047008800,11,8,3,131.9090909090909,60.81818181818182,0.2727272727272727
36047009001,4,2,0,145.0,24.25,0.0
36047009002,3,3,0,148.0,81.0,0.0
36047009201,4,3,0,147.5,27.75,0.0
36047009202,3,3,2,240.0,58.333333333333336,0.6666666666666666
36047009401,9,9,2,148.44444444444446,62.77777777777778,0.2222222222222222
36047009402,5,4,0,213.6,19.4,0.0
36047009600,13,10,2,186.76923076923077,13.615384615384615,0.15384615384615385
36047009800,2,2,2,68.5,112.0,1.0
36047010000,7,4,2,90.42857142857143,17.0,0.2857142857142857
36047010100,17,15,8,143.76470588235293,57.88235294117647,0.47058823529411764
36047010200,1,1,0,324.0,0.0,0.0
36047010401,5,3,0,281.6,12.2,0.0
36047010601,1,1,0,344.0,99.0,0.0
36047010602,2,1,0,0.0,9.5,0.0
36047010802,3,1,0,0.0,12.666666666666666,0.0
36047011000,7,5,0,78.71428571428571,18.0,0.0
36047011200,11,5,3,256.90909090909093,17.363636363636363,0.2727272727272727
36047011400,6,4,0,60.666666666666664,5.0,0.0
36047011600,4,2,0,91.25,18.75,0.0
36047011700,33,27,19,169.15151515151516,60.57575757575758,0.5757575757575758
36047011800,2,2,2,257.0,97.5,1.0
36047011902,1,1,1,365.0,0.0,1.0
36047012100,20,16,11,131.75,87.75,0.55
36047012200,4,4,1,75.0,4.0,0.25
36047012600,11,4,0,158.1818181818182,6.090909090909091,0.0
36047012700,19,15,14,131.21052631578948,19.894736842105264,0.7368421052631579
36047012801,2,2,0,181.5,12.0,0.0
36047012902,23,19,15,141.08695652173913,44.65217391304348,0.6521739130434783
36047013000,11,5,1,160.0,15.454545454545455,0.09090909090909091
36047013400,6,5,1,152.66666666666666,11.833333333333334,0.16666666666666666
36047013500,18,17,14,126.33333333333333,36.44444444444444,0.7777777777777778
36047013600,9,7,1,177.66666666666666,34.44444444444444,0.1111111111111111
36047013700,24,22,18,131.0,31.041666666666668,0.75
36047013800,4,3,0,174.25,46.0,0.0
36047013900,35,33,25,98.05714285714286,52.22857142857143,0.7142857142857143
36047014000,2,1,0,365.0,44.5,0.0
36047014101,19,17,15,153.26315789473685,50.1578947368421,0.7894736842105263
36047014102,14,13,10,102.21428571428571,3.0,0.7142857142857143
36047014200,7,5,1,287.7142857142857,50.142857142857146,0.14285714285714285
36047014300,42,38,25,120.83333333333333,34.595238095238095,0.5952380952380952
36047014500,32,26,15,140.96875,33.84375,0.46875
36047014700,12,10,10,187.33333333333334,30.5,0.8333333333333334
36047014800,2,1,2,365.0,0.0,1.0
36047014901,11,11,10,147.36363636363637,23.90909090909091,0.9090909090909091
36047014902,36,33,29,129.52777777777777,34.388888888888886,0.8055555555555556
36047015000,1,1,0,364.0,0.0,0.0
36047015500,36,27,26,137.05555555555554,64.33333333333333,0.7222222222222222
36047015700,25,24,17,151.48,56.12,0.68
36047015900,22,21,16,138.5,88.36363636363636,0.7272727272727273
36047016000,2,2,1,339.0,47.5,0.5
36047016100,42,38,26,94.04761904761905,41.61904761904762,0.6190476190476191
36047016300,27,25,18,85.62962962962963,67.81481481481481,0.6666666666666666
36047016400,1,1,0,363.0,9.0,0.0
36047016500,15,15,11,81.06666666666666,36.0,0.7333333333333333
36047016800,4,3,2,237.75,51.5,0.5
36047017000,3,3,1,218.66666666666666,5.0,0.3333333333333333
36047017200,2,2,1,303.0,100.0,0.5
36047017400,2,2,0,353.0,33.5,0.0
36047017600,2,2,1,271.0,0.5,0.5
36047017800,2,2,2,57.0,1.0,1.0
36047017900,14,12,10,155.57142857142858,32.357142857142854,0.7142857142857143
